GROSS STATE DOMESTIC PRODUCT AT CURRENT PRICES; BASE YEAR 2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,As on 17.03.2025,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GSDP - CURRENT PRICES (` in Crore),,,,,,,,,,,,,,(% Growth over previous year),,,,,,,,,,,,
S. No.,State\UT,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
(1),(2),(3),(4),(5),(6),(7),(8'),(9),('10),('11),('12),('13),('14),('15),('16),('17),('18),('19),('20),('21),('22),('23),('24),('25),('26),('27),('28),('29)
1,Andhra Pradesh ,379402,411404,464272,524976,604229,684416,786135,873721,925839,978581,1131629,1309464,1422094,1593062,8.43,12.85,13.08,15.10,13.27,14.86,11.14,5.97,5.70,15.64,15.71,8.60,12.02
2,Arunachal Pradesh,11063,12547,14581,17959,18509,19902,22475,25335,30024,30525,32705,35037,39041,NA,13.41,16.22,23.17,3.06,7.53,12.93,12.73,18.51,1.67,7.14,7.13,11.43,NA
3,Assam,143175,156864,177745,195723,227959,254382,283165,309336,346851,339803,410724,479391,570944,643667,9.56,13.31,10.11,16.47,11.59,11.31,9.24,12.13,-2.03,20.87,16.72,19.10,12.74
4,Bihar,247144,282368,317101,342951,371602,421051,468746,527976,581855,567814,647394,745440,852621,NA,14.25,12.30,8.15,8.35,13.31,11.33,12.64,10.20,-2.41,14.02,15.14,14.38,NA
5,Chhattisgarh,158074,177511,206833,221118,225163,262802,282737,327107,344672,352328,411613,458891,512107,567880,12.30,16.52,6.91,1.83,16.72,7.59,15.69,5.37,2.22,16.83,11.49,11.60,10.89
6,Goa,42367,38120,35921,47814,55054,62976,69352,71853,75032,74158,81226,93672,106533,NA,-10.02,-5.77,33.11,15.14,14.39,10.12,3.61,4.42,-1.17,9.53,15.32,13.73,NA
7,Gujarat,615606,724495,807623,921773,1029010,1167156,1329095,1492156,1617143,1616106,1920927,2203419,2425804,NA,17.69,11.47,14.13,11.63,13.43,13.87,12.27,8.38,-0.06,18.86,14.71,10.09,NA
8,Haryana,297539,347032,399268,437145,495504,561424,638832,698940,738052,730442,877269,974732,1085510,1213951,16.63,15.05,9.49,13.35,13.30,13.79,9.41,5.60,-1.03,20.10,11.11,11.36,11.83
9,Himachal Pradesh,72720,82820,94764,103772,114239,125634,138551,148383,159164,151905,170654,191659,210662,232185,13.89,14.42,9.51,10.09,9.97,10.28,7.10,7.27,-4.56,12.34,12.31,9.91,10.22
10,Jharkhand,150918,174724,188567,218525,206613,236250,269816,305695,310305,296664,376127,417361,461010,NA,15.77,7.92,15.89,-5.45,14.34,14.21,13.30,1.51,-4.40,26.79,10.96,10.46,NA
11,Karnataka,606010,695413,816666,913923,1045168,1207608,1333240,1479391,1615827,1640811,1992029,2319696,2557241,2883903,14.75,17.44,11.91,14.36,15.54,10.40,10.96,9.22,1.55,21.41,16.45,10.24,12.77
12,Kerala,364048,412313,465041,512564,561994,634886,701588,788286,812935,771724,924465,1022045,1139945,NA,13.26,12.79,10.22,9.64,12.97,10.51,12.36,3.13,-5.07,19.79,10.56,11.54,NA
13,Madhya Pradesh,315562,380925,439483,479939,541068,649823,726284,829805,927855,946218,1101168,1221813,1353809,1503395,20.71,15.37,9.21,12.74,20.10,11.77,14.25,11.82,1.98,16.38,10.96,10.80,11.05
14,Maharashtra,1280369,1459629,1649647,1779138,1966225,2198185,2352782,2528854,2656806,2610651,3143821,3641543,4055847,4531518,14.00,13.02,7.85,10.52,11.80,7.03,7.48,5.06,-1.74,20.42,15.83,11.38,11.73
15,Manipur,12915,13743,16182,18129,19531,21294,25789,27388,29813,29776,35027,40203,46710,NA,6.42,17.75,12.03,7.73,9.03,21.11,6.20,8.85,-0.12,17.64,14.78,16.18,NA
16,Meghalaya,19918,21872,22938,23235,25117,27439,29508,32176,34770,33776,40222,46551,53057,59228,9.81,4.87,1.29,8.10,9.24,7.54,9.04,8.06,-2.86,19.08,15.74,13.98,11.63
17,Mizoram,7259,8362,10293,13509,15139,17192,19385,21912,24990,23923,26695,30701,34289,NA,15.20,23.10,31.24,12.06,13.56,12.76,13.03,14.04,-4.27,11.59,15.00,11.69,NA
18,Nagaland,12177,14121,16612,18401,19524,21722,24393,26527,29716,29832,32265,35642,40414,NA,15.97,17.64,10.77,6.10,11.26,12.29,8.75,12.02,0.39,8.16,10.46,13.39,NA
19,Odisha,230987,261700,296475,314250,328550,392804,440395,498611,537502,540185,695530,756286,862658,949140,13.30,13.29,6.00,4.55,19.56,12.12,13.22,7.80,0.50,28.76,8.74,14.06,10.03
20,Punjab,266628,297734,332147,355102,390087,426988,471014,512510,537031,540853,627717,685147,745820,809538,11.67,11.56,6.91,9.85,9.46,10.31,8.81,4.78,0.71,16.06,9.15,8.86,8.54
21,Rajasthan,434837,493551,551031,615642,681482,760587,832529,911519,1000032,1017917,1195641,1356480,1521510,1704339,13.50,11.65,11.73,10.69,11.61,9.46,9.49,9.71,1.79,17.46,13.45,12.17,12.02
22,Sikkim,11165,12338,13862,15407,18034,20687,25971,28402,31441,33018,37650,42677,48937,NA,10.51,12.35,11.14,17.05,14.71,25.54,9.36,10.70,5.02,14.03,13.35,14.67,NA
